Data Responden,Bisakah anda membedakan ms office dengan libre office?,Mampukah anda membuat laporan (dokumen/presentasi) menggunakan libre office?,Menurut anda Microsoft powerpoint bisa memasukkan gambar/video?,Apakah bisa menggunakan simbol matematika di microsoft excel?,Apakah microsoft office sangat menunjang pendidikan di kampus?,Apakah anda sering menggunakan microsoft office?,Seberapa familiar anda menggunakan ms office?,Bisakah anda membedakan antara file docx dan odt?
Responden 339,4,5,4,4,5,4,4,4
Responden 340,4,4,4,5,5,4,4,4
Responden 341,4,4,5,5,5,5,4,4
Responden 342,5,4,5,5,4,4,4,3
Responden 343,5,4,5,5,5,5,3,4
Responden 344,5,4,5,4,5,5,5,4
Responden 345,5,5,4,2,5,4,4,5
Responden 346,3,4,4,4,4,5,4,4
Responden 347,3,5,4,5,5,4,3,3
Responden 348,3,3,5,4,5,5,5,3
Responden 349,3,3,4,4,4,4,4,3
Responden 350,4,2,5,3,5,5,5,4
Responden 351,2,5,5,4,5,3,5,2
Responden 352,5,5,5,5,5,5,4,3
Responden 353,4,2,5,1,5,5,5,3
Responden 354,3,3,4,4,5,5,5,4
Responden 355,5,2,5,5,5,5,5,3
Responden 356,3,4,5,3,5,5,5,3
Responden 357,3,5,5,4,5,3,4,4
Responden 358,3,5,5,4,5,3,4,4
Responden 359,3,4,4,4,5,4,4,5
Responden 360,5,4,3,3,5,1,2,4
Responden 361,3,3,5,3,5,4,4,3
Responden 362,3,4,4,5,5,3,3,4
Responden 363,4,3,2,4,5,3,4,5
Responden 364,4,3,2,4,5,3,4,5
Responden 365,4,4,4,4,4,4,4,4
Responden 366,4,3,4,4,4,4,3,4
Responden 367,3,3,5,5,4,4,5,3
Responden 368,5,5,5,5,5,5,4,4
Responden 369,4,5,4,5,5,5,5,3
Responden 370,3,1,5,5,5,5,5,1
Responden 371,3,4,4,5,5,5,5,5
Responden 372,5,5,5,5,5,5,5,5
Responden 373,4,4,5,5,5,5,5,5
Responden 374,2,3,5,5,5,4,4,3
Responden 375,2,2,4,4,4,4,4,3
Responden 376,3,4,5,5,5,5,5,3
Responden 377,5,5,5,3,5,5,5,3
Responden 378,3,4,4,4,4,4,4,4
Responden 379,4,4,5,5,5,4,4,4
Responden 380,5,2,5,5,5,5,5,4
Responden 381,4,3,5,4,5,5,4,3
Responden 382,5,4,5,5,5,5,4,5
Responden 383,5,5,5,3,5,4,5,3
Responden 384,5,5,5,5,5,5,5,5
Responden 385,2,3,4,3,5,4,4,3
Responden 386,3,3,5,5,5,5,5,4
Responden 387,5,5,5,1,5,5,5,5
Responden 388,4,1,4,2,1,3,4,2
Responden 389,3,3,4,5,5,5,4,3
Responden 390,1,1,5,5,5,5,4,2
Responden 391,4,3,2,5,5,5,4,1
Responden 392,3,3,5,4,5,5,5,3
Responden 393,5,2,3,3,5,5,5,3
Responden 394,3,3,4,3,4,4,4,3
Responden 395,3,3,4,4,4,5,5,4
Responden 396,4,3,5,5,5,5,4,4
Responden 397,4,3,5,5,5,5,5,3
Responden 398,5,3,4,5,5,5,5,3
Responden 399,4,4,3,4,4,4,4,3
Responden 400,4,4,4,4,4,4,4,3
Responden 401,3,3,5,4,5,5,4,4
Responden 402,4,2,2,5,4,4,4,4
Responden 403,5,5,5,5,5,5,5,5
Responden 404,3,3,3,3,3,3,3,3
Responden 405,5,5,5,5,5,5,5,5
Responden 406,5,5,5,5,5,5,5,5
Responden 407,4,4,5,5,5,4,4,3
Responden 408,5,5,5,5,5,5,5,5
Responden 409,5,5,5,4,4,4,5,5
Responden 410,3,4,4,3,5,3,3,2
Responden 411,4,3,5,4,5,5,5,3
Responden 412,3,3,5,4,5,5,5,3
Responden 413,4,4,4,3,4,4,5,3
Responden 414,3,4,1,1,4,1,5,1
Responden 415,4,4,5,5,5,5,5,5
Responden 416,4,4,5,5,5,5,5,5
Responden 417,5,4,3,2,1,5,3,2
Responden 418,4,3,5,4,5,5,5,4
Responden 419,4,4,4,2,4,2,2,2
Responden 420,5,5,3,3,5,5,5,5
Responden 421,4,4,5,5,5,5,4,5
Responden 422,2,2,5,5,5,5,5,5
Responden 423,4,3,5,4,4,4,4,4
Responden 424,5,5,5,5,5,5,5,5
Responden 425,2,2,4,4,5,4,4,2
Responden 426,4,4,5,5,5,5,5,3
Responden 427,3,2,4,3,4,4,4,2
Responden 428,4,4,5,4,4,4,4,4
Responden 429,3,1,2,4,3,2,2,1
Responden 430,1,2,3,4,5,1,2,3
Responden 431,3,3,4,5,4,4,3,3
Responden 432,3,3,4,4,4,5,4,5
Responden 433,2,4,5,5,5,5,4,4
Responden 434,4,3,3,4,4,4,4,3
Responden 435,4,3,5,5,5,5,5,5
Responden 436,4,3,4,3,4,5,5,4
Responden 437,4,2,4,3,5,5,4,4
